id,date,store_nbr,item_nbr,unit_sales,onpromotion
65880689,2015-12-26,1,103520,3.0,False
65880690,2015-12-26,1,103665,3.0,False
65880691,2015-12-26,1,105574,1.0,False
65880692,2015-12-26,1,105575,5.0,False
65880693,2015-12-26,1,105577,1.0,False
65880694,2015-12-26,1,108634,3.0,False
65880695,2015-12-26,1,108696,1.0,False
65880696,2015-12-26,1,108698,1.0,False
65880697,2015-12-26,1,108786,3.0,False
65880698,2015-12-26,1,108797,1.0,False
65880699,2015-12-26,1,108952,1.0,False
65880700,2015-12-26,1,111223,1.0,False
65880701,2015-12-26,1,111397,2.0,False
65880702,2015-12-26,1,112830,2.0,False
65880703,2015-12-26,1,114790,6.0,False
65880704,2015-12-26,1,114800,1.0,False
65880705,2015-12-26,1,115267,4.0,False
65880706,2015-12-26,1,115611,1.0,False
65880707,2015-12-26,1,115693,1.0,False
65880708,2015-12-26,1,115720,1.0,False
65880709,2015-12-26,1,115891,3.0,False
65880710,2015-12-26,1,115892,3.0,False
65880711,2015-12-26,1,115893,2.0,False
65880712,2015-12-26,1,115894,2.0,False
65880713,2015-12-26,1,116017,7.0,False
65880714,2015-12-26,1,116018,3.0,False
65880715,2015-12-26,1,119024,2.0,False
65880716,2015-12-26,1,119026,9.0,False
65880717,2015-12-26,1,119141,1.0,False
65880718,2015-12-26,1,119191,3.0,False
65880719,2015-12-26,1,119624,1.0,False
65880720,2015-12-26,1,122095,1.0,False
65880721,2015-12-26,1,122419,18.0,False
65880722,2015-12-26,1,125430,3.0,False
65880723,2015-12-26,1,127534,2.0,False
65880724,2015-12-26,1,127547,3.0,False
65880725,2015-12-26,1,129297,1.0,False
65880726,2015-12-26,1,129635,14.0,False
65880727,2015-12-26,1,129758,4.0,False
65880728,2015-12-26,1,153078,3.0,False
65880729,2015-12-26,1,153267,4.0,False
65880730,2015-12-26,1,153395,2.0,False
65880731,2015-12-26,1,153398,3.0,False
65880732,2015-12-26,1,155600,1.0,False
65880733,2015-12-26,1,155610,1.0,False
65880734,2015-12-26,1,155621,3.0,False
65880735,2015-12-26,1,158680,1.0,False
65880736,2015-12-26,1,158789,2.0,False
65880737,2015-12-26,1,158875,2.0,False
65880738,2015-12-26,1,158956,6.0,False
65880739,2015-12-26,1,159156,3.8789999999999996,False
65880740,2015-12-26,1,162066,6.0,False
65880741,2015-12-26,1,164036,1.0,False
65880742,2015-12-26,1,164037,4.0,False
65880743,2015-12-26,1,164088,2.0,False
65880744,2015-12-26,1,165550,3.0,False
65880745,2015-12-26,1,165551,1.0,False
65880746,2015-12-26,1,165553,2.0,False
65880747,2015-12-26,1,165693,3.0,False
65880748,2015-12-26,1,165704,5.0,False
