id,date,store_nbr,item_nbr,unit_sales,onpromotion
65783029,2015-12-24,1,103520,4.0,False
65783030,2015-12-24,1,103665,6.0,False
65783031,2015-12-24,1,105574,3.0,False
65783032,2015-12-24,1,105575,10.0,False
65783033,2015-12-24,1,105577,1.0,False
65783034,2015-12-24,1,105857,4.0,False
65783035,2015-12-24,1,106716,5.0,False
65783036,2015-12-24,1,108079,1.0,False
65783037,2015-12-24,1,108634,4.0,False
65783038,2015-12-24,1,108696,3.0,False
65783039,2015-12-24,1,108698,2.0,False
65783040,2015-12-24,1,108701,3.0,False
65783041,2015-12-24,1,108786,1.0,False
65783042,2015-12-24,1,108797,2.0,False
65783043,2015-12-24,1,108952,4.0,False
65783044,2015-12-24,1,111223,2.0,False
65783045,2015-12-24,1,111397,4.0,False
65783046,2015-12-24,1,112830,3.0,False
65783047,2015-12-24,1,114790,7.0,False
65783048,2015-12-24,1,114800,2.0,False
65783049,2015-12-24,1,115267,6.0,False
65783050,2015-12-24,1,115611,6.0,False
65783051,2015-12-24,1,115720,4.0,False
65783052,2015-12-24,1,115850,6.0,False
65783053,2015-12-24,1,115891,2.0,False
65783054,2015-12-24,1,115892,1.0,False
65783055,2015-12-24,1,115893,8.0,False
65783056,2015-12-24,1,115894,1.0,False
65783057,2015-12-24,1,116017,7.0,False
65783058,2015-12-24,1,116018,1.0,False
65783059,2015-12-24,1,119026,1.0,False
65783060,2015-12-24,1,119141,7.0,False
65783061,2015-12-24,1,119191,3.0,False
65783062,2015-12-24,1,119624,11.0,False
65783063,2015-12-24,1,122095,5.0,False
65783064,2015-12-24,1,122419,2.0,False
65783065,2015-12-24,1,123347,6.0,False
65783066,2015-12-24,1,123601,1.0,False
65783067,2015-12-24,1,123602,1.0,False
65783068,2015-12-24,1,125430,1.0,False
65783069,2015-12-24,1,127534,4.0,False
65783070,2015-12-24,1,127547,5.0,False
65783071,2015-12-24,1,129297,8.0,False
65783072,2015-12-24,1,129758,1.0,False
65783073,2015-12-24,1,153078,2.0,False
65783074,2015-12-24,1,153267,56.0,False
65783075,2015-12-24,1,153395,1.0,False
65783076,2015-12-24,1,153398,8.0,False
65783077,2015-12-24,1,155600,5.0,False
65783078,2015-12-24,1,155621,2.0,False
65783079,2015-12-24,1,155625,5.0,False
65783080,2015-12-24,1,158788,1.0,False
65783081,2015-12-24,1,158789,1.0,False
65783082,2015-12-24,1,158842,5.0,False
65783083,2015-12-24,1,158956,3.0,False
65783084,2015-12-24,1,159156,61.882,False
65783085,2015-12-24,1,164036,3.0,False
65783086,2015-12-24,1,164037,3.0,False
65783087,2015-12-24,1,164088,3.0,False
65783088,2015-12-24,1,164647,1.0,False
65783089,2015-12-24,1,165550,2.0,False
65783090,2015-12-24,1,165551,12.0,False
65783091,2015-12-24,1,165553,2.0,False
65783092,2015-12-24,1,165693,15.0,False
65783093,2015-12-24,1,165704,9.0,False
65783094,2015-12-24,1,165705,1.0,False
65783095,2015-12-24,1,165718,2.0,False
65783096,2015-12-24,1,165727,1.0,False
65783097,2015-12-24,1,165988,2.0,False
65783098,2015-12-24,1,168927,10.0,False
65783099,2015-12-24,1,168930,7.0,False
65783100,2015-12-24,1,168989,46.0,False
65783101,2015-12-24,1,169028,1.0,False
65783102,2015-12-24,1,170791,12.0,False
65783103,2015-12-24,1,172184,1.0,False
65783104,2015-12-24,1,172343,3.0,False
65783105,2015-12-24,1,173111,3.0,False
65783106,2015-12-24,1,173113,3.0,False
65783107,2015-12-24,1,174081,1.0,False
65783108,2015-12-24,1,177050,4.0,False
65783109,2015-12-24,1,177395,2.0,False
65783110,2015-12-24,1,179274,8.0,False
65783111,2015-12-24,1,205209,12.582,False
65783112,2015-12-24,1,205387,4.0,False
65783113,2015-12-24,1,205486,2.0,False
65783114,2015-12-24,1,205557,1.0,False
65783115,2015-12-24,1,207857,4.0,False
65783116,2015-12-24,1,208514,1.0,False
65783117,2015-12-24,1,208530,14.304,False
65783118,2015-12-24,1,208539,9.554,False
65783119,2015-12-24,1,208659,1.0,False
65783120,2015-12-24,1,208699,4.0,False
65783121,2015-12-24,1,210798,3.0,False
65783122,2015-12-24,1,211203,9.0,False
65783123,2015-12-24,1,211205,5.0,False
65783124,2015-12-24,1,211999,5.0,False
65783125,2015-12-24,1,212550,4.0,False
65783126,2015-12-24,1,212552,1.0,False
65783127,2015-12-24,1,213066,12.0,False
65783128,2015-12-24,1,213652,10.0,False
65783129,2015-12-24,1,213653,2.0,False
65783130,2015-12-24,1,214862,3.0,False
65783131,2015-12-24,1,215303,1.0,False
65783132,2015-12-24,1,215331,8.0,False
65783133,2015-12-24,1,215352,1.0,False
65783134,2015-12-24,1,215356,6.0,False
65783135,2015-12-24,1,215896,3.0,False
65783136,2015-12-24,1,217827,4.0,False
65783137,2015-12-24,1,218726,1.0,False
65783138,2015-12-24,1,219147,6.0,False
65783139,2015-12-24,1,219150,116.0,False
